

Timestamp reset
0 Connected
Can receive synchronous retained messages
690:29 Received msg:59
690:0 Sending msg:60
716:26 Received msg:60
716:0 Sending msg:61
725:9 Received msg:61
725:0 Sending msg:62
744:19 Received msg:62
744:0 Sending msg:63
757:13 Received msg:63
758:1 Sending msg:64
791:33 Received msg:64
791:0 Sending msg:65
820:29 Received msg:65
820:0 Sending msg:66
830:10 Received msg:66
830:0 Sending msg:67
838:8 Received msg:67
838:0 Sending msg:68
845:7 Received msg:68
845:0 Sending msg:69
851:6 Received msg:69
852:1 Sending msg:70
858:6 Received msg:70
858:0 Sending msg:71
863:5 Received msg:71
863:0 Sending msg:72
869:6 Received msg:72
869:0 Sending msg:73
875:6 Received msg:73
875:0 Sending msg:74
882:7 Received msg:74
882:0 Sending msg:75
903:21 Received msg:75
903:0 Sending msg:76
912:9 Received msg:76
912:0 Sending msg:77
924:12 Received msg:77
924:0 Sending msg:78
933:9 Received msg:78
933:0 Sending msg:79
943:10 Received msg:79
943:0 Sending msg:80
957:14 Received msg:80
957:0 Sending msg:81
967:10 Received msg:81
967:0 Sending msg:82
978:11 Received msg:82
978:0 Sending msg:83
990:12 Received msg:83
990:0 Sending msg:84
1006:16 Received msg:84
1006:0 Sending msg:85
1017:11 Received msg:85
1017:0 Sending msg:86
1023:6 Received msg:86
1023:0 Sending msg:87
1032:9 Received msg:87
1032:0 Sending msg:88
1038:6 Received msg:88
1038:0 Sending msg:89
1044:6 Received msg:89
1044:0 Sending msg:90
1053:9 Received msg:90
1053:0 Sending msg:91
1060:7 Received msg:91
1060:0 Sending msg:92
1066:6 Received msg:92
1066:0 Sending msg:93
1072:6 Received msg:93
1072:0 Sending msg:94
1078:6 Received msg:94
1078:0 Sending msg:95
1088:10 Received msg:95
1089:1 Sending msg:96
1100:11 Received msg:96
1100:0 Sending msg:97
1112:12 Received msg:97
1112:0 Sending msg:98
1122:10 Received msg:98
1123:1 Sending msg:99
1130:7 Received msg:99
